구,동,지하철역 수,면적(km2),면적당 지하철역 수
성동구,용답동,3,2.31,1.2987012987012987
성동구,응봉동,1,0.57,1.7543859649122808
성동구,행당1동,1,0.59,1.6949152542372883
성동구,행당2동,1,0.42,2.380952380952381
성북구,길음1동,1,0.79,1.2658227848101264
성북구,동선동,1,0.73,1.36986301369863
성북구,보문동,1,0.56,1.7857142857142856
성북구,석관동,1,1.73,0.5780346820809249
성북구,성북동,1,2.86,0.3496503496503497
성북구,안암동,3,1.33,2.255639097744361
성북구,월곡2동,2,1.36,1.4705882352941175
성북구,장위2동,1,0.67,1.4925373134328357
송파구,가락1동,2,1.34,1.4925373134328357
송파구,가락2동,1,0.96,1.0416666666666667
송파구,가락본동,1,1.13,0.8849557522123894
송파구,거여1동,1,0.51,1.9607843137254901
송파구,마천1동,1,0.58,1.7241379310344829
송파구,문정2동,2,2.2,0.9090909090909091
송파구,방이1동,1,0.5,2.0
송파구,석촌동,1,0.95,1.0526315789473684
송파구,오륜동,1,3.17,0.31545741324921134
송파구,위례동,1,2.55,0.3921568627450981
송파구,잠실3동,1,1.49,0.6711409395973155
송파구,잠실4동,1,1.56,0.641025641025641
송파구,잠실6동,2,2.79,0.7168458781362007
송파구,잠실7동,1,0.6,1.6666666666666667
양천구,목1동,2,1.41,1.4184397163120568
양천구,목2동,1,1.03,0.970873786407767
양천구,목3동,1,0.53,1.8867924528301885
양천구,신정1동,1,0.7,1.4285714285714286
양천구,신정4동,1,1.01,0.9900990099009901
양천구,신정7동,1,1.21,0.8264462809917356
영등포구,당산1동,1,0.75,1.3333333333333333
영등포구,당산2동,2,1.55,1.2903225806451613
영등포구,대림2동,1,0.55,1.8181818181818181
영등포구,대림3동,1,0.95,1.0526315789473684
영등포구,문래동,1,1.49,0.6711409395973155
영등포구,신길6동,1,0.65,1.5384615384615383
영등포구,신길7동,2,0.64,3.125
영등포구,양평1동,1,0.88,1.1363636363636365
영등포구,양평2동,1,3.0,0.3333333333333333
영등포구,여의동,4,8.4,0.47619047619047616
영등포구,영등포동,1,1.26,0.7936507936507936
영등포구,영등포본동,2,1.02,1.9607843137254901
용산구,남영동,2,1.19,1.680672268907563
용산구,서빙고동,1,2.8,0.35714285714285715
용산구,원효로1동,1,0.59,1.6949152542372883
용산구,이촌1동,1,2.86,0.3496503496503497
용산구,이태원1동,1,0.57,1.7543859649122808
용산구,이태원2동,1,0.86,1.1627906976744187
용산구,한강로동,3,2.9,1.0344827586206897
용산구,한남동,3,3.01,0.9966777408637875
용산구,효창동,1,0.44,2.272727272727273
은평구,갈현1동,1,0.97,1.0309278350515465
은평구,갈현2동,1,0.96,1.0416666666666667
은평구,녹번동,1,1.79,0.5586592178770949
은평구,대조동,1,0.85,1.1764705882352942
은평구,불광1동,1,3.13,0.3194888178913738
은평구,신사2동,1,1.0,1.0
은평구,역촌동,1,1.16,0.8620689655172414
은평구,응암1동,1,1.2,0.8333333333333334
은평구,증산동,1,0.81,1.2345679012345678
은평구,진관동,1,11.53,0.08673026886383348
종로구,가회동,1,0.54,1.8518518518518516
종로구,사직동,2,1.23,1.6260162601626016
종로구,숭인2동,1,0.35,2.857142857142857
종로구,종로1.2.3.4가동,2,2.35,0.851063829787234
종로구,종로5.6가동,1,0.6,1.6666666666666667
종로구,창신1동,1,0.31,3.2258064516129035
종로구,창신3동,1,0.23,4.3478260869565215
종로구,혜화동,1,1.12,0.8928571428571428
중구,광희동,3,0.74,4.054054054054054
중구,다산동,1,0.51,1.9607843137254901
중구,명동,2,0.99,2.0202020202020203
중구,소공동,2,0.95,2.1052631578947367
중구,신당동,1,0.55,1.8181818181818181
중구,약수동,1,0.48,2.0833333333333335
중구,을지로동,3,0.6,5.0
중구,장충동,1,1.36,0.7352941176470588
중구,필동,1,1.14,0.8771929824561404
중구,황학동,1,0.33,3.0303030303030303
중구,회현동,2,0.84,2.380952380952381
중랑구,면목4동,1,0.87,1.1494252873563218
중랑구,면목7동,1,1.2,0.8333333333333334
중랑구,면목본동,1,0.84,1.1904761904761905
중랑구,묵1동,1,1.2,0.8333333333333334
중랑구,상봉1동,1,0.88,1.1363636363636365
중랑구,상봉2동,1,0.65,1.5384615384615383
중랑구,신내1동,1,2.56,0.390625
중랑구,중화1동,1,0.64,1.5625
