,MLSFCDC,VIAT_NM,x,y,city,gu,dong
4093,보건시설,더가지런한치과의원,127.03046766386413,37.612349968716025,서울특별시,강북구,송중동
4094,보건시설,남성약국,127.03040454870123,37.61325376137221,서울특별시,강북구,송중동
4095,숙박시설,나인호텔,127.07131475488187,37.57063352792569,서울특별시,동대문구,장안2동
4096,숙박시설,O2모텔,127.07247090173254,37.57062102690106,서울특별시,동대문구,장안2동
4097,숙박시설,매니아모텔,127.07208991610662,37.57077475103335,서울특별시,동대문구,장안2동
4098,숙박시설,로잔호텔,127.07151613792705,37.570148116486905,서울특별시,동대문구,장안2동
4099,보건시설,남일빌딩남일한의원,127.05633977682874,37.57307655772993,서울특별시,동대문구,답십리1동
4100,보건시설,강내과의원,127.05311461637243,37.563808578225384,서울특별시,성동구,용답동
4101,서비스산업,대해빌딩KB국민은행365자동화코너,127.03789594972109,37.56978360641276,서울특별시,성동구,마장동
4102,서비스산업,우리은행(전농동지점),127.05722503739547,37.57773969395516,서울특별시,동대문구,전농1동
4103,서비스산업,신한은행카드기,127.05112753191857,37.576067437600116,서울특별시,동대문구,전농1동
4104,숙박시설,인천여관,127.02365377912521,37.60369692684742,서울특별시,성북구,길음1동
4105,숙박시설,한일장여관,127.02173980279876,37.60222905349327,서울특별시,성북구,길음1동
4106,보건시설,세기약국,127.02276496876807,37.60305885361936,서울특별시,성북구,길음1동
4107,숙박시설,정모텔,127.03129143049324,37.61213847445201,서울특별시,강북구,송중동
4108,숙박시설,무비숑모텔,127.03118176615129,37.6107333356174,서울특별시,강북구,송중동
4109,숙박시설,J모텔,127.03107461027442,37.61170212620404,서울특별시,강북구,송중동
4110,숙박시설,유모텔,127.03090075611101,37.60979624380781,서울특별시,강북구,송중동
4111,지방행정기관,답십리2동주민센터,127.06129797496206,37.56740402262798,서울특별시,동대문구,답십리2동
4112,서비스산업,대성마트,127.03923036558717,37.56680150576764,서울특별시,성동구,마장동
4113,보건시설,정성약국,127.03305568879904,37.56658082359551,서울특별시,성동구,왕십리도선동
4114,문화/예술시설,청계천박물관,127.03524549666528,37.571367328349346,서울특별시,성동구,마장동
4115,서비스산업,마장축산물시장,127.0409925625552,37.56914372456583,서울특별시,성동구,마장동
4116,보건시설,내인당한의원,127.0589603099281,37.57814843101977,서울특별시,동대문구,전농2동
4117,보건시설,무궁한의원,127.07055181202819,37.580660083935726,서울특별시,동대문구,장안2동
4118,서비스산업,"레피리움산후조리센터,롯데슈퍼",127.0707099808619,37.58148014034283,서울특별시,동대문구,장안2동
4119,서비스산업,두꺼비왕식자재마트,127.0657747293234,37.56619113293706,서울특별시,동대문구,장안1동
4120,숙박시설,JW모텔,127.06576119893269,37.56646461338572,서울특별시,동대문구,장안1동
4121,보건시설,북악동물병원,127.01385011912802,37.60281594459986,서울특별시,성북구,정릉1동
4122,보건시설,솔샘온누리약국,127.02539983938004,37.61829153907109,서울특별시,강북구,송천동
4123,보건시설,승은빌딩삼양박가정의원,127.02513214353866,37.618375627934164,서울특별시,강북구,송천동
4124,서비스산업,영마트,127.02537855524393,37.61957506593066,서울특별시,강북구,송천동
4125,서비스산업,"성북프라자아파트농협하나로마트미아점,하나님의교회",127.02650293356226,37.62157328735534,서울특별시,강북구,송천동
4126,숙박시설,신세계모텔,127.03103465818981,37.61159605879418,서울특별시,강북구,송중동
4127,숙박시설,다야모텔,127.03107295918919,37.6113374883953,서울특별시,강북구,송중동
4128,숙박시설,대성장모텔,127.03100426629402,37.61237029917375,서울특별시,강북구,송중동
4129,보건시설,이명빌딩신유약국,127.07247006237117,37.57307608467313,서울특별시,동대문구,장안2동
4130,보건시설,새서울병원,127.07209902352976,37.57316784058521,서울특별시,동대문구,장안2동
4131,보건시설,코리아병원,127.07153596062521,37.57320256324499,서울특별시,동대문구,장안2동
4132,보건시설,보림약국,127.07055421680568,37.57094588572198,서울특별시,동대문구,장안1동
4133,서비스산업,MG새마을금고(동대문동부답십리지점),127.06176920737057,37.56713277110699,서울특별시,동대문구,답십리2동
4134,서비스산업,자동차부품상가,127.06113118339304,37.56645463094424,서울특별시,동대문구,답십리2동
4135,보건시설,조은한의원,127.06334395254905,37.56542925142319,서울특별시,동대문구,장안1동
