STDR_YM,VIAT_SE_CD,VIAT_CD,VIAT_ID,LCLASDC,MLSFCDC,SCLASDC,DCLASDC,BCLASDC,VIAT_NM,ADRES_CD,ADRES_NM,TELNO,X_VALUE,Y_VALUE,ADRES_SP,BLCK_CD,REGIST_DE,ERSR_DE,REGIST_DT,geometry
,030101,0100,AA0000004117,교육/보건,교육시설,유아교육기관,어린이집,,세네동어린이집,,,,207101.380127,563495.499329,,366470,,,,POINT (207101.38012695312 563495.4993286133)
,070301,0107,AA0000004118,숙박/음식,숙박시설,기타숙박시설,,,산장모텔,,,,200754.501099,562456.959778,,338704,,,,POINT (200754.5010986328 562456.959777832)
,010301,0700,AA0000004119,행정,지방행정기관,지방행정집행기관,동주민센터,,상계10동주민센터,,,,205318.860718,562407.641174,,366226,,,,POINT (205318.86071777344 562407.6411743164)
,030205,0100,AA0000004120,교육/보건,보건시설,기타보건시설,약국,미분류,임페리얼타워순수한약국,,,,215382.732117,551774.660889,,502518,,,,POINT (215382.73211669922 551774.6608886719)
,030101,0100,AA0000004121,교육/보건,교육시설,유아교육기관,어린이집,,중곡희망어린이집,,,,207684.777771,552142.692871,,211471,,,,POINT (207684.7777709961 552142.6928710938)
,070301,0200,AA0000004122,산업,서비스산업,종합상품판매업,할인매장,미분류,홈마트,,,,208092.382996,554232.051331,,214938,,,,POINT (208092.38299560547 554232.0513305664)
,030204,0000,AA0000004123,교육/보건,보건시설,한의원,,,샬롬한의원,,,,208079.774231,554437.720276,,214911,,,,POINT (208079.77423095703 554437.7202758789)
,030102,0200,AA0000004124,교육/보건,교육시설,초등교육기관,공립초등학교,,새솔초등학교,,,,209821.885071,557598.249695,,214672,,,,POINT (209821.88507080078 557598.2496948242)
,030104,0200,AA0000004125,교육/보건,교육시설,고등교육기관,공립고등학교,,강일고등학교,,,,215673.190125,551637.146729,,413801,,,,POINT (215673.19012451172 551637.1467285156)
,030103,0200,AA0000004126,교육/보건,교육시설,중등교육기관,공립중학교,,재현중학교,,,,207148.025085,562412.535706,,500490,,,,POINT (207148.02508544922 562412.5357055664)
