구,동별,2021_all,2021_pub,2022_all,2022_pub
강북구,송천동,9,3,7,3
강북구,삼각산동,25,17,22,16
강북구,우이동,10,4,8,4
강북구,인수동,8,5,7,4
도봉구,쌍문1동,11,2,9,2
도봉구,쌍문2동,10,3,9,3
도봉구,쌍문3동,7,2,7,2
도봉구,쌍문4동,13,5,12,5
도봉구,방학1동,11,7,10,7
도봉구,방학2동,10,3,9,3
도봉구,방학3동,18,6,17,6
도봉구,창1동,14,5,13,5
도봉구,창2동,17,4,18,5
도봉구,창3동,11,5,9,5
도봉구,창4동,20,7,18,7
도봉구,창5동,14,3,12,3
도봉구,도봉1동,7,3,6,2
도봉구,도봉2동,25,11,21,11
노원구,월계1동,15,5,14,5
노원구,월계2동,15,8,15,8
노원구,월계3동,31,4,28,4
노원구,공릉2동,31,9,29,9
노원구,하계1동,10,4,10,4
노원구,하계2동,13,4,12,4
노원구,중계본동,6,2,5,2
노원구,중계1동,10,4,10,4
노원구,중계4동,8,1,7,1
노원구,상계1동,25,10,19,10
노원구,상계2동,12,3,12,3
노원구,상계5동,7,1,9,1
노원구,상계8동,34,8,32,8
노원구,상계9동,17,3,16,3
노원구,상계10동,13,3,11,3
노원구,상계3.4동,15,7,13,7
노원구,상계6.7동,27,5,24,5
노원구,중계2.3동,24,6,22,6
노원구,공릉1동,19,6,18,6
은평구,녹번동,20,7,19,7
은평구,불광1동,19,6,18,7
은평구,갈현1동,9,4,8,4
은평구,갈현2동,12,5,12,5
은평구,구산동,13,6,13,6
은평구,대조동,10,3,9,3
은평구,응암1동,14,6,13,6
은평구,응암2동,18,10,18,11
은평구,신사1동,14,3,11,3
은평구,신사2동,9,3,7,4
은평구,증산동,12,2,13,4
은평구,수색동,4,2,4,2
은평구,진관동,39,15,39,16
은평구,불광2동,8,3,8,3
은평구,응암3동,9,2,5,2
은평구,역촌동,22,7,20,7
서대문구,천연동,9,2,8,2
서대문구,홍제1동,11,4,12,4
서대문구,홍제3동,10,6,10,7
서대문구,홍제2동,4,2,4,2
서대문구,홍은1동,11,6,9,6
서대문구,홍은2동,6,2,7,3
서대문구,남가좌1동,12,6,13,7
서대문구,남가좌2동,18,7,17,7
서대문구,북가좌1동,10,5,10,5
서대문구,북가좌2동,12,4,10,4
서대문구,충현동,7,1,8,4
서대문구,북아현동,15,11,12,7
서대문구,신촌동,5,1,5,1
서대문구,연희동,12,5,11,5
마포구,용강동,11,4,12,4
마포구,대흥동,4,4,4,4
마포구,염리동,8,5,8,6
마포구,신수동,11,5,9,5
마포구,서교동,8,7,8,7
마포구,합정동,8,3,7,3
마포구,망원1동,12,4,11,4
마포구,망원2동,10,2,8,2
마포구,연남동,4,1,4,1
마포구,성산1동,5,1,5,1
마포구,성산2동,25,4,22,4
마포구,상암동,30,15,30,15
마포구,도화동,10,3,11,4
마포구,서강동,13,8,13,8
마포구,공덕동,14,6,14,6
마포구,아현동,20,9,21,11
양천구,목1동,11,3,10,3
양천구,목2동,14,3,12,3
양천구,목3동,13,5,13,5
양천구,목4동,12,6,10,6
양천구,신월1동,17,2,15,2
양천구,신월2동,19,3,17,3
양천구,신월3동,13,4,11,4
양천구,신월4동,14,3,12,3
양천구,신월5동,12,4,10,4
양천구,신월6동,10,5,10,5
양천구,신월7동,11,2,10,2
양천구,신정1동,10,2,9,2
양천구,신정2동,10,2,8,2
양천구,신정3동,33,21,32,22
양천구,신정6동,10,2,11,2
양천구,신정7동,20,7,15,7
양천구,목5동,16,4,15,4
양천구,신정4동,18,9,16,9
강서구,염창동,31,8,29,8
강서구,등촌1동,12,4,12,4
강서구,등촌2동,10,2,10,2
강서구,등촌3동,16,8,15,8
강서구,화곡본동,28,4,22,4
