,학교종류명,학교명,도로명주소,x,y,city,gu,dong
558,고등학교,청원고등학교,서울특별시 노원구 한글비석로 506,127.10562109742006,37.642012,서울특별시,노원구,공릉2동
559,고등학교,재현고등학교,서울특별시 노원구 덕릉로82길 64,127.06948626989912,37.6661065,서울특별시,노원구,상계5동
560,고등학교,용화여자고등학교,서울특별시 노원구 동일로 1461,127.0756057,37.6582542,서울특별시,노원구,중계4동
561,고등학교,영신여자고등학교,서울특별시 노원구 중계로16나길 13,127.05546,37.6847903,서울특별시,노원구,상계1동
562,고등학교,서라벌고등학교,서울특별시 노원구 한글비석로5길 18,127.0821023,37.6516797,서울특별시,노원구,중계본동
563,고등학교,대진여자고등학교,서울특별시 노원구 공릉로 438,127.07561153361657,37.64488545,서울특별시,노원구,중계1동
564,고등학교,대진고등학교,서울특별시 노원구 공릉로62가길 47,127.0790507,37.6268136,서울특별시,노원구,공릉2동
565,고등학교,상계고등학교,서울특별시 노원구 노해로 432,127.075128517107,37.63759745,서울특별시,노원구,하계1동
566,공동실습소,경기기계공업고등학교부설미래기술교육센터,서울특별시 노원구 공릉로 264,127.0567775,37.653432,서울특별시,노원구,상계6.7동
567,중학교,효문중학교,서울특별시 도봉구 우이천로 432,127.0790507,37.6268136,서울특별시,노원구,공릉2동
568,중학교,창일중학교,서울특별시 도봉구 노해로66길 60,127.02993,37.64388,서울특별시,도봉구,쌍문3동
569,중학교,창북중학교,서울특별시 도봉구 노해로62길 33,127.04773,37.64872,서울특별시,도봉구,창1동
570,중학교,창동중학교,서울특별시 도봉구 방학로 32,127.0387248,37.6477,서울특별시,도봉구,창1동
571,중학교,정의여자중학교,서울특별시 도봉구 노해로49길 69,127.0377307,37.6637033,서울특별시,도봉구,방학1동
572,중학교,신방학중학교,서울특별시 도봉구 시루봉로 156,127.0298023,37.6518966,서울특별시,도봉구,쌍문4동
573,중학교,신도봉중학교,서울특별시 도봉구 도봉로115길 16,127.0279507,37.6547435,서울특별시,도봉구,쌍문4동
574,중학교,선덕중학교,서울특별시 도봉구 시루봉로 53,127.0330161,37.6489238,서울특별시,도봉구,쌍문3동
575,중학교,북서울중학교,서울특별시 도봉구 도봉로169가길 33,127.0279507,37.6547435,서울특별시,도봉구,쌍문4동
576,중학교,백운중학교,서울특별시 도봉구 도봉로129길 50,127.0428797,37.681763,서울특별시,도봉구,도봉1동
577,중학교,방학중학교,서울특별시 도봉구 시루봉로 188,127.0355919913315,37.656107399999996,서울특별시,도봉구,쌍문2동
578,중학교,도봉중학교,서울특별시 도봉구 마들로 671,127.0289015,37.6563804,서울특별시,도봉구,쌍문4동
579,중학교,노곡중학교,서울특별시 도봉구 노해로70길 95,127.0458791,37.6623294,서울특별시,도봉구,방학1동
580,초등학교,한신초등학교,서울특별시 도봉구 노해로49길 69,127.05222,37.64907,서울특별시,도봉구,창4동
581,초등학교,서울초당초등학교,서울특별시 도봉구 해등로32길 11,127.0298023,37.6518966,서울특별시,도봉구,쌍문4동
582,초등학교,서울창일초등학교,서울특별시 도봉구 노해로66길 84,127.0229766,37.6597591,서울특별시,도봉구,방학3동
583,초등학교,서울창원초등학교,서울특별시 도봉구 해등로 103,127.04773,37.64872,서울특별시,도봉구,창1동
584,초등학교,서울창림초등학교,서울특별시 도봉구 덕릉로63길 46,127.0337937,37.6580725,서울특별시,도봉구,쌍문4동
585,초등학교,서울창동초등학교,서울특별시 도봉구 해등로16길 81,127.04016,37.64519,서울특별시,도봉구,창2동
586,초등학교,서울창도초등학교,서울특별시 도봉구 방학로 32-28,127.043562,37.6549907,서울특별시,도봉구,창5동
587,초등학교,서울창경초등학교,서울특별시 도봉구 도봉로129길 54,127.0377307,37.6637033,서울특별시,도봉구,방학1동
588,초등학교,서울자운초등학교,서울특별시 도봉구 마들로13길 166,127.03530335537533,37.65600435,서울특별시,도봉구,쌍문2동
589,초등학교,서울월천초등학교,서울특별시 도봉구 노해로70길 96,127.0448495,37.6625304,서울특별시,도봉구,방학1동
590,초등학교,서울오봉초등학교,서울특별시 도봉구 시루봉로 285,127.05222,37.64907,서울특별시,도봉구,창4동
591,초등학교,서울쌍문초등학교,서울특별시 도봉구 우이천로 360,127.0289015,37.6563804,서울특별시,도봉구,쌍문4동
592,초등학교,서울신화초등학교,서울특별시 도봉구 우이천로 120,127.02993,37.64388,서울특별시,도봉구,쌍문3동
593,초등학교,서울신학초등학교,서울특별시 도봉구 방학로 247-21,127.02993,37.64388,서울특별시,도봉구,쌍문3동
594,초등학교,서울신창초등학교,서울특별시 도봉구 덕릉로60길 93,127.0377307,37.6637033,서울특별시,도봉구,방학1동
595,초등학교,서울신방학초등학교,서울특별시 도봉구 시루봉로 173,127.0412163,37.63643,서울특별시,도봉구,창3동
596,초등학교,서울숭미초등학교,서울특별시 도봉구 노해로 179,127.0279507,37.6547435,서울특별시,도봉구,쌍문4동
597,초등학교,서울백운초등학교,서울특별시 도봉구 삼양로146길 17,127.03981,37.6516,서울특별시,도봉구,창5동
598,초등학교,서울방학초등학교,서울특별시 도봉구 도당로9길 34,127.0143115,37.6541304,서울특별시,도봉구,쌍문1동
599,초등학교,서울도봉초등학교,서울특별시 도봉구 도봉로173길 96,127.0341446,37.6630346,서울특별시,도봉구,방학2동
600,초등학교,서울누원초등학교,서울특별시 도봉구 마들로 859-44,127.0395983,37.6789188,서울특별시,도봉구,도봉1동
601,초등학교,서울가인초등학교,서울특별시 도봉구 도봉로136다길 4,127.0458791,37.6623294,서울특별시,도봉구,방학1동
602,초등학교,동북초등학교,서울특별시 도봉구 시루봉로 53,127.0426974,37.6609228,서울특별시,도봉구,창5동
603,특수학교,서울도솔학교,서울특별시 도봉구 평화로15번길 9-26,127.0279507,37.6547435,서울특별시,도봉구,쌍문4동
604,고등학교,세그루패션디자인고등학교,서울특별시 도봉구 시루봉로 53,127.0421687,37.6943736,서울특별시,도봉구,도봉1동
605,고등학교,서울문화고등학교,서울특별시 도봉구 마들로 598,127.0279507,37.6547435,서울특별시,도봉구,쌍문4동
606,고등학교,효문고등학교,서울특별시 도봉구 우이천로 432,127.0458791,37.6623294,서울특별시,도봉구,방학1동
607,고등학교,자운고등학교,서울특별시 도봉구 노해로69길 150,127.02993,37.64388,서울특별시,도봉구,쌍문3동
608,고등학교,도봉고등학교,서울특별시 도봉구 도봉산길 27,127.0507636,37.6534576,서울특별시,도봉구,창4동
609,고등학교,누원고등학교,서울특별시 도봉구 마들로 849,127.0428041,37.6873666,서울특별시,도봉구,도봉1동
610,고등학교,창동고등학교,서울특별시 도봉구 노해로62길 7,127.0458791,37.6623294,서울특별시,도봉구,방학1동
611,고등학교,정의여자고등학교,서울특별시 도봉구 노해로49길 69,127.0387248,37.6477,서울특별시,도봉구,창1동
