,gu,dong,시설명,area_km2,density_supcent
0,강남구,세곡동,1,6.36,0.15723270440251572
1,강남구,일원1동,1,0.92,1.0869565217391304
2,강동구,강일동,2,2.26,0.8849557522123894
3,강동구,고덕1동,1,1.51,0.6622516556291391
4,강동구,고덕2동,2,2.5,0.8
5,강동구,길동,5,1.61,3.105590062111801
6,강동구,명일1동,2,0.61,3.278688524590164
7,강동구,상일2동,1,1.09,0.9174311926605504
8,강동구,성내2동,2,0.67,2.9850746268656714
9,강동구,성내3동,2,0.71,2.8169014084507045
10,강동구,암사1동,2,1.02,1.9607843137254901
11,강동구,암사3동,1,2.51,0.39840637450199207
12,강동구,천호1동,2,0.71,2.8169014084507045
