,구,동,all_kin,pub_kin,ratio_kin,all_chi,pub_chi,ratio_chi
271,구로구,수궁동,12,2,16.666666666666664,1.0,0.0,0.0
272,구로구,가리봉동,3,2,66.66666666666666,0.0,0.0,0.0
273,구로구,구로2동,13,3,23.07692307692308,1.0,0.0,0.0
274,구로구,개봉1동,19,6,31.57894736842105,2.0,1.0,50.0
275,구로구,항동,19,10,52.63157894736842,1.0,1.0,100.0
276,금천구,가산동,10,3,30.0,1.0,0.0,0.0
277,금천구,독산1동,27,15,55.55555555555556,4.0,2.0,50.0
278,금천구,독산2동,10,5,50.0,2.0,2.0,100.0
279,금천구,독산3동,9,3,33.33333333333333,1.0,0.0,0.0
280,금천구,독산4동,10,3,30.0,1.0,1.0,100.0
281,금천구,시흥1동,18,7,38.88888888888889,1.0,0.0,0.0
282,금천구,시흥2동,14,10,71.42857142857143,4.0,1.0,25.0
283,금천구,시흥3동,3,2,66.66666666666666,1.0,0.0,0.0
284,금천구,시흥4동,13,3,23.07692307692308,0.0,0.0,0.0
285,금천구,시흥5동,14,4,28.57142857142857,1.0,1.0,100.0
286,영등포구,여의동,33,3,9.090909090909092,5.0,1.0,20.0
287,영등포구,당산1동,13,4,30.76923076923077,2.0,0.0,0.0
288,영등포구,당산2동,19,8,42.10526315789473,2.0,1.0,50.0
289,영등포구,양평1동,13,4,30.76923076923077,3.0,1.0,33.33333333333333
290,영등포구,양평2동,18,6,33.33333333333333,2.0,1.0,50.0
291,영등포구,신길1동,7,4,57.14285714285714,0.0,0.0,0.0
292,영등포구,신길3동,8,3,37.5,3.0,0.0,0.0
293,영등포구,신길4동,6,4,66.66666666666666,3.0,1.0,33.33333333333333
294,영등포구,신길5동,3,3,100.0,1.0,0.0,0.0
295,영등포구,신길6동,13,6,46.15384615384615,2.0,1.0,50.0
296,영등포구,신길7동,10,4,40.0,2.0,1.0,50.0
297,영등포구,대림1동,9,4,44.44444444444444,1.0,0.0,0.0
298,영등포구,대림2동,5,2,40.0,2.0,2.0,100.0
299,영등포구,대림3동,11,4,36.36363636363637,4.0,1.0,25.0
300,영등포구,영등포본동,12,4,33.33333333333333,2.0,0.0,0.0
301,영등포구,영등포동,9,6,66.66666666666666,3.0,1.0,33.33333333333333
302,영등포구,도림동,11,3,27.27272727272727,1.0,0.0,0.0
303,영등포구,문래동,24,10,41.66666666666667,1.0,1.0,100.0
304,동작구,노량진2동,1,0,0.0,1.0,0.0,0.0
305,동작구,상도1동,16,7,43.75,3.0,1.0,33.33333333333333
306,동작구,상도2동,17,7,41.17647058823529,0.0,0.0,0.0
307,동작구,상도3동,9,2,22.22222222222222,0.0,0.0,0.0
308,동작구,상도4동,14,4,28.57142857142857,3.0,0.0,0.0
309,동작구,사당1동,6,2,33.33333333333333,1.0,0.0,0.0
310,동작구,사당3동,11,7,63.63636363636363,2.0,1.0,50.0
311,동작구,사당4동,8,2,25.0,0.0,0.0,0.0
312,동작구,사당5동,6,2,33.33333333333333,3.0,2.0,66.66666666666666
313,동작구,대방동,11,5,45.45454545454545,1.0,0.0,0.0
314,동작구,신대방1동,11,4,36.36363636363637,3.0,1.0,33.33333333333333
315,동작구,신대방2동,13,7,53.84615384615385,0.0,0.0,0.0
316,동작구,흑석동,14,7,50.0,4.0,1.0,25.0
317,동작구,노량진1동,15,7,46.66666666666666,5.0,2.0,40.0
318,동작구,사당2동,16,7,43.75,0.0,0.0,0.0
319,관악구,보라매동,12,4,33.33333333333333,1.0,1.0,100.0
320,관악구,청림동,15,9,60.0,2.0,1.0,50.0
321,관악구,행운동,10,5,50.0,3.0,2.0,66.66666666666666
322,관악구,낙성대동,7,2,28.57142857142857,0.0,0.0,0.0
323,관악구,중앙동,2,2,100.0,1.0,1.0,100.0
324,관악구,인헌동,9,4,44.44444444444444,1.0,0.0,0.0
325,관악구,남현동,6,1,16.666666666666664,2.0,1.0,50.0
326,관악구,서원동,7,5,71.42857142857143,0.0,0.0,0.0
327,관악구,신원동,6,2,33.33333333333333,1.0,1.0,100.0
328,관악구,서림동,7,1,14.285714285714285,3.0,1.0,33.33333333333333
329,관악구,신사동,9,4,44.44444444444444,1.0,1.0,100.0
330,관악구,신림동,3,2,66.66666666666666,0.0,0.0,0.0
331,관악구,난향동,11,3,27.27272727272727,1.0,0.0,0.0
332,관악구,조원동,8,5,62.5,0.0,0.0,0.0
333,관악구,대학동,5,1,20.0,1.0,1.0,100.0
334,관악구,은천동,15,7,46.66666666666666,4.0,2.0,50.0
335,관악구,성현동,15,5,33.33333333333333,3.0,0.0,0.0
336,관악구,청룡동,11,6,54.54545454545454,2.0,2.0,100.0
337,관악구,난곡동,11,5,45.45454545454545,2.0,1.0,50.0
338,관악구,삼성동,5,4,80.0,2.0,1.0,50.0
339,관악구,미성동,11,5,45.45454545454545,1.0,0.0,0.0
340,서초구,서초1동,11,4,36.36363636363637,1.0,0.0,0.0
341,서초구,서초2동,10,5,50.0,1.0,0.0,0.0
342,서초구,서초3동,11,4,36.36363636363637,0.0,0.0,0.0
343,서초구,서초4동,10,7,70.0,3.0,1.0,33.33333333333333
344,서초구,잠원동,9,4,44.44444444444444,1.0,0.0,0.0
345,서초구,반포본동,0,0,0.0,0.0,0.0,0.0
346,서초구,반포1동,9,6,66.66666666666666,1.0,0.0,0.0
347,서초구,반포2동,7,4,57.14285714285714,1.0,0.0,0.0
348,서초구,반포3동,9,5,55.55555555555556,1.0,0.0,0.0
349,서초구,반포4동,10,5,50.0,0.0,0.0,0.0
350,서초구,방배본동,5,3,60.0,1.0,1.0,100.0
351,서초구,방배1동,5,2,40.0,0.0,0.0,0.0
352,서초구,방배2동,9,5,55.55555555555556,0.0,0.0,0.0
353,서초구,방배3동,6,5,83.33333333333334,1.0,0.0,0.0
354,서초구,방배4동,9,3,33.33333333333333,2.0,1.0,50.0
355,서초구,양재1동,24,10,41.66666666666667,7.0,5.0,71.42857142857143
356,서초구,양재2동,10,6,60.0,1.0,0.0,0.0
357,서초구,내곡동,16,10,62.5,2.0,2.0,100.0
358,강남구,신사동,3,2,66.66666666666666,1.0,1.0,100.0
359,강남구,개포3동,8,3,37.5,2.0,0.0,0.0
360,강남구,논현1동,4,2,50.0,1.0,1.0,100.0
361,강남구,논현2동,4,1,25.0,2.0,1.0,50.0
362,강남구,삼성1동,7,2,28.57142857142857,1.0,0.0,0.0
363,강남구,삼성2동,13,4,30.76923076923077,0.0,0.0,0.0
364,강남구,대치1동,6,2,33.33333333333333,2.0,0.0,0.0
365,강남구,대치4동,8,2,25.0,1.0,1.0,100.0
366,강남구,역삼1동,13,1,7.6923076923076925,1.0,1.0,100.0
367,강남구,역삼2동,13,2,15.384615384615383,0.0,0.0,0.0
368,강남구,도곡1동,5,1,20.0,1.0,1.0,100.0
369,강남구,도곡2동,4,2,50.0,2.0,0.0,0.0
370,강남구,개포1동,0,0,0.0,0.0,0.0,0.0
371,강남구,개포4동,12,4,33.33333333333333,2.0,1.0,50.0
372,강남구,일원본동,8,3,37.5,2.0,0.0,0.0
373,강남구,일원1동,9,2,22.22222222222222,1.0,1.0,100.0
374,강남구,일원2동,0,0,0.0,0.0,0.0,0.0
375,강남구,수서동,7,3,42.85714285714285,4.0,1.0,25.0
376,강남구,세곡동,30,14,46.66666666666666,6.0,5.0,83.33333333333334
377,강남구,압구정동,5,3,60.0,0.0,0.0,0.0
378,강남구,청담동,6,3,50.0,3.0,1.0,33.33333333333333
379,강남구,대치2동,11,3,27.27272727272727,1.0,1.0,100.0
380,강남구,개포2동,7,4,57.14285714285714,2.0,1.0,50.0
381,송파구,풍납1동,6,2,33.33333333333333,1.0,0.0,0.0
382,송파구,풍납2동,18,6,33.33333333333333,3.0,0.0,0.0
383,송파구,거여1동,9,5,55.55555555555556,1.0,1.0,100.0
384,송파구,거여2동,17,8,47.05882352941176,3.0,1.0,33.33333333333333
385,송파구,마천1동,7,2,28.57142857142857,1.0,0.0,0.0
386,송파구,마천2동,11,2,18.181818181818183,1.0,1.0,100.0
387,송파구,방이1동,5,0,0.0,1.0,1.0,100.0
388,송파구,방이2동,12,3,25.0,1.0,0.0,0.0
389,송파구,오륜동,1,0,0.0,3.0,1.0,33.33333333333333
390,송파구,오금동,19,6,31.57894736842105,2.0,1.0,50.0
391,송파구,송파1동,12,3,25.0,1.0,1.0,100.0
392,송파구,송파2동,7,1,14.285714285714285,3.0,1.0,33.33333333333333
393,송파구,석촌동,13,4,30.76923076923077,2.0,0.0,0.0
394,송파구,삼전동,11,3,27.27272727272727,1.0,0.0,0.0
395,송파구,가락본동,14,6,42.85714285714285,1.0,1.0,100.0
396,송파구,가락1동,14,9,64.28571428571429,1.0,1.0,100.0
397,송파구,가락2동,18,2,11.11111111111111,3.0,0.0,0.0
398,송파구,문정1동,8,2,25.0,1.0,0.0,0.0
399,송파구,문정2동,12,3,25.0,0.0,0.0,0.0
400,송파구,잠실본동,7,2,28.57142857142857,0.0,0.0,0.0
401,송파구,잠실4동,17,2,11.76470588235294,1.0,0.0,0.0
402,송파구,잠실6동,11,1,9.090909090909092,1.0,0.0,0.0
403,송파구,잠실7동,0,0,0.0,1.0,1.0,100.0
404,송파구,잠실2동,14,4,28.57142857142857,3.0,2.0,66.66666666666666
405,송파구,잠실3동,16,1,6.25,2.0,2.0,100.0
