구,동,전체,국공립,국공립 어린이집 비율
양천구,신정7동,15,7,46.66666666666666
양천구,목5동,15,4,26.666666666666668
양천구,신정4동,16,9,56.25
강서구,염창동,29,8,27.58620689655172
강서구,등촌1동,12,4,33.33333333333333
강서구,등촌2동,10,2,20.0
강서구,등촌3동,15,8,53.333333333333336
강서구,화곡본동,22,4,18.181818181818183
강서구,화곡2동,8,3,37.5
강서구,화곡3동,11,4,36.36363636363637
강서구,화곡4동,11,2,18.181818181818183
강서구,화곡6동,8,2,25.0
강서구,화곡8동,14,4,28.57142857142857
강서구,가양1동,22,3,13.636363636363637
강서구,가양2동,6,3,50.0
강서구,가양3동,9,3,33.33333333333333
강서구,발산1동,27,8,29.629629629629623
강서구,공항동,17,7,41.17647058823529
강서구,방화1동,30,12,40.0
강서구,방화2동,9,3,33.33333333333333
강서구,방화3동,12,3,25.0
강서구,화곡1동,17,4,23.52941176470588
강서구,우장산동,23,5,21.73913043478261
구로구,신도림동,29,8,27.58620689655172
구로구,구로1동,21,4,19.047619047619047
구로구,구로3동,16,9,56.25
구로구,구로4동,15,6,40.0
구로구,구로5동,18,3,16.666666666666664
구로구,고척1동,14,5,35.714285714285715
구로구,고척2동,19,7,36.84210526315789
구로구,개봉2동,20,12,60.0
구로구,개봉3동,9,4,44.44444444444444
구로구,오류1동,9,3,33.33333333333333
구로구,오류2동,30,15,50.0
구로구,수궁동,12,2,16.666666666666664
구로구,가리봉동,3,2,66.66666666666666
구로구,구로2동,13,3,23.07692307692308
구로구,개봉1동,19,6,31.57894736842105
구로구,항동,19,10,52.63157894736842
금천구,가산동,10,3,30.0
금천구,독산1동,27,15,55.55555555555556
금천구,독산2동,10,5,50.0
금천구,독산3동,9,3,33.33333333333333
금천구,독산4동,10,3,30.0
금천구,시흥1동,18,7,38.88888888888889
금천구,시흥2동,14,10,71.42857142857143
금천구,시흥3동,3,2,66.66666666666666
금천구,시흥4동,13,3,23.07692307692308
금천구,시흥5동,14,4,28.57142857142857
영등포구,여의동,33,3,9.090909090909092
영등포구,당산1동,13,4,30.76923076923077
영등포구,당산2동,19,8,42.10526315789473
영등포구,양평1동,13,4,30.76923076923077
영등포구,양평2동,18,6,33.33333333333333
영등포구,신길1동,7,4,57.14285714285714
영등포구,신길3동,8,3,37.5
영등포구,신길4동,6,4,66.66666666666666
영등포구,신길5동,3,3,100.0
영등포구,신길6동,13,6,46.15384615384615
영등포구,신길7동,10,4,40.0
영등포구,대림1동,9,4,44.44444444444444
영등포구,대림2동,5,2,40.0
영등포구,대림3동,11,4,36.36363636363637
영등포구,영등포본동,12,4,33.33333333333333
영등포구,영등포동,9,6,66.66666666666666
영등포구,도림동,11,3,27.27272727272727
영등포구,문래동,24,10,41.66666666666667
동작구,노량진2동,1,0,0.0
동작구,상도1동,16,7,43.75
동작구,상도2동,17,7,41.17647058823529
동작구,상도3동,9,2,22.22222222222222
동작구,상도4동,14,4,28.57142857142857
동작구,사당1동,6,2,33.33333333333333
동작구,사당3동,11,7,63.63636363636363
동작구,사당4동,8,2,25.0
동작구,사당5동,6,2,33.33333333333333
