법정동명,mean_vlue/m**2
충정로2가,684.1153253023608
충정로3가,1217.9825112456385
토정동,1537.936682146409
통의동,1631.469840237324
통인동,1313.7453431344757
팔판동,2008.0972177284211
평동,2244.317168184528
평창동,711.4837178068301
풍납동,1164.4707370274884
필동1가,768.3814492214079
필동2가,1102.1448459919727
필동3가,954.9651068487665
필운동,1009.0223705744836
하계동,892.1020419207891
하왕십리동,1364.1514342071478
하월곡동,919.9808704769373
하중동,1535.0275935207274
한강로1가,1244.5305002536104
한강로2가,1310.1049010040042
한강로3가,1575.5779043771302
한남동,1907.2545368826377
합동,821.1594905691142
합정동,985.5595800843574
항동,726.299785212252
행당동,1381.9421128742852
행촌동,583.4936820233288
현석동,1355.888355715335
현저동,1169.7738452142232
혜화동,886.9129597758186
홍은동,610.2091096424409
홍익동,978.8153624537317
홍제동,823.8656532784156
홍지동,528.2800271134405
홍파동,2083.9107363737694
화곡동,648.8367120682508
화동,1330.4174934376038
화양동,979.7409681554715
황학동,1038.6215577862524
회기동,792.6828429195173
회현동1가,1029.5442429456184
회현동2가,1031.0573641796063
효자동,1009.1354305872301
효제동,1411.8159863917022
효창동,1371.9408545105837
후암동,986.7278012033025
휘경동,889.179989690663
흑석동,1634.878492886757
흥인동,863.180365678763
