구,동,합계,공립 수,국공립 유치원 비율
송파구,거여2동,3,1,33.33333333333333
송파구,마천1동,1,0,0.0
송파구,마천2동,1,1,100.0
송파구,문정1동,1,0,0.0
송파구,방이1동,1,1,100.0
송파구,방이2동,1,0,0.0
송파구,삼전동,1,0,0.0
송파구,석촌동,2,0,0.0
송파구,송파1동,1,1,100.0
송파구,송파2동,3,1,33.33333333333333
송파구,오금동,2,1,50.0
송파구,오륜동,3,1,33.33333333333333
송파구,위례동,5,5,100.0
송파구,잠실2동,3,2,66.66666666666666
송파구,잠실3동,2,2,100.0
송파구,잠실4동,1,0,0.0
송파구,잠실6동,1,0,0.0
송파구,잠실7동,1,1,100.0
송파구,장지동,4,0,0.0
송파구,풍납1동,1,0,0.0
송파구,풍납2동,3,0,0.0
양천구,목1동,2,1,50.0
양천구,목2동,2,1,50.0
양천구,목3동,2,0,0.0
양천구,목5동,7,3,42.857142857142854
양천구,신월3동,2,1,50.0
양천구,신월4동,2,0,0.0
양천구,신월5동,1,1,100.0
양천구,신월7동,2,1,50.0
양천구,신정1동,2,0,0.0
양천구,신정2동,1,0,0.0
양천구,신정3동,6,4,66.66666666666666
양천구,신정4동,4,2,50.0
양천구,신정6동,2,0,0.0
양천구,신정7동,3,0,0.0
영등포구,당산1동,2,0,0.0
영등포구,당산2동,2,1,50.0
영등포구,대림1동,1,0,0.0
영등포구,대림2동,2,2,100.0
영등포구,대림3동,4,1,25.0
영등포구,도림동,1,0,0.0
영등포구,문래동,1,1,100.0
영등포구,신길3동,3,0,0.0
영등포구,신길4동,3,1,33.33333333333333
영등포구,신길5동,1,0,0.0
영등포구,신길6동,2,1,50.0
영등포구,신길7동,2,1,50.0
영등포구,양평1동,3,1,33.33333333333333
영등포구,양평2동,2,1,50.0
영등포구,여의동,5,1,20.0
영등포구,영등포동,3,1,33.33333333333333
영등포구,영등포본동,2,0,0.0
용산구,서빙고동,1,1,100.0
용산구,용문동,1,0,0.0
용산구,원효로1동,1,1,100.0
용산구,원효로2동,2,0,0.0
용산구,이촌1동,5,0,0.0
용산구,청파동,1,1,100.0
용산구,한남동,1,1,100.0
용산구,후암동,1,0,0.0
은평구,갈현2동,3,0,0.0
은평구,구산동,2,1,50.0
은평구,녹번동,4,2,50.0
은평구,불광1동,3,1,33.33333333333333
은평구,불광2동,3,3,100.0
은평구,수색동,2,1,50.0
은평구,신사1동,1,0,0.0
은평구,신사2동,1,1,100.0
은평구,역촌동,2,1,50.0
은평구,응암1동,3,1,33.33333333333333
은평구,응암2동,3,1,33.33333333333333
은평구,응암3동,2,1,50.0
은평구,증산동,1,0,0.0
은평구,진관동,7,5,71.42857142857143
종로구,가회동,1,1,100.0
종로구,무악동,1,0,0.0
종로구,부암동,2,0,0.0
종로구,사직동,1,0,0.0
종로구,숭인1동,1,0,0.0
종로구,종로1.2.3.4가동,1,0,0.0
종로구,종로5.6가동,1,0,0.0
종로구,창신1동,1,1,100.0
종로구,창신3동,1,1,100.0
종로구,청운효자동,3,1,33.33333333333333
종로구,혜화동,3,1,33.33333333333333
중구,다산동,2,1,50.0
중구,소공동,1,1,100.0
중구,신당5동,1,0,0.0
중구,신당동,1,1,100.0
중구,약수동,1,0,0.0
중구,을지로동,1,0,0.0
중구,장충동,1,1,100.0
중구,중림동,1,0,0.0
중구,청구동,2,0,0.0
중구,필동,2,0,0.0
중구,회현동,1,0,0.0
중랑구,망우3동,1,1,100.0
중랑구,망우본동,3,2,66.66666666666666
중랑구,면목2동,4,2,50.0
중랑구,면목3.8동,1,0,0.0
중랑구,면목4동,1,1,100.0
중랑구,면목7동,1,0,0.0
중랑구,면목본동,3,2,66.66666666666666
중랑구,묵1동,2,0,0.0
중랑구,묵2동,2,2,100.0
중랑구,상봉1동,2,0,0.0
중랑구,신내1동,2,1,50.0
중랑구,신내2동,5,2,40.0
중랑구,중화1동,3,1,33.33333333333333
중랑구,중화2동,1,0,0.0
