구별,동별,합계,외국인,외국인 비율
강서구,방화1동,42851,235,0.01
강서구,방화2동,23371,248,0.01
강서구,방화3동,22544,132,0.01
강서구,화곡1동,52647,942,0.02
강서구,우장산동,42883,204,0.0
구로구,소계,418418,23103,0.06
구로구,신도림동,36138,317,0.01
구로구,구로1동,20936,303,0.01
구로구,구로3동,25055,1636,0.07
구로구,구로4동,23052,3860,0.17
구로구,구로5동,31740,2469,0.08
구로구,고척1동,25636,318,0.01
구로구,고척2동,26557,428,0.02
구로구,개봉2동,30665,392,0.01
구로구,개봉3동,20251,364,0.02
구로구,오류1동,23126,585,0.03
구로구,수궁동,23332,293,0.01
구로구,가리봉동,12653,3717,0.29
구로구,구로2동,30093,6962,0.23
구로구,개봉1동,34105,745,0.02
구로구,오류2동,38528,570,0.01
구로구,항동,16551,144,0.01
금천구,소계,242818,13176,0.05
금천구,가산동,26569,2358,0.09
금천구,독산1동,47573,1692,0.04
금천구,독산2동,19562,1339,0.07
금천구,독산3동,27239,3205,0.12
금천구,독산4동,16432,1547,0.09
금천구,시흥1동,34054,1594,0.05
금천구,시흥2동,20832,115,0.01
금천구,시흥3동,10701,156,0.01
금천구,시흥4동,20614,637,0.03
금천구,시흥5동,19242,533,0.03
영등포구,소계,398085,22410,0.06
영등포구,여의동,32923,368,0.01
영등포구,당산1동,20740,367,0.02
영등포구,당산2동,37102,386,0.01
영등포구,양평1동,18704,310,0.02
영등포구,양평2동,22583,204,0.01
영등포구,신길1동,20483,1331,0.06
영등포구,신길3동,17281,930,0.05
영등포구,신길4동,13016,712,0.05
영등포구,신길5동,11212,982,0.09
영등포구,신길6동,19593,719,0.04
영등포구,신길7동,19899,181,0.01
영등포구,대림1동,16506,2348,0.14
영등포구,대림2동,17523,5668,0.32
영등포구,대림3동,25205,3327,0.13
영등포구,영등포본동,22714,1706,0.08
영등포구,영등포동,30461,733,0.02
영등포구,도림동,19600,1929,0.1
영등포구,문래동,32540,209,0.01
동작구,소계,390432,9836,0.03
동작구,노량진2동,11234,714,0.06
동작구,상도1동,46166,1960,0.04
동작구,상도2동,27982,287,0.01
동작구,상도3동,24456,362,0.01
동작구,상도4동,28564,337,0.01
동작구,사당1동,23009,448,0.02
동작구,사당3동,24189,188,0.01
동작구,사당4동,14185,169,0.01
동작구,사당5동,14434,100,0.01
동작구,대방동,37056,323,0.01
동작구,신대방1동,25118,1754,0.07
동작구,신대방2동,22445,227,0.01
동작구,흑석동,30694,2177,0.07
동작구,노량진1동,32114,444,0.01
동작구,사당2동,28786,346,0.01
관악구,소계,501226,14474,0.03
관악구,보라매동,24660,439,0.02
관악구,청림동,15005,104,0.01
관악구,행운동,29636,504,0.02
관악구,낙성대동,17928,594,0.03
관악구,중앙동,15685,368,0.02
관악구,인헌동,26119,394,0.02
관악구,남현동,18163,201,0.01
관악구,서원동,23511,725,0.03
관악구,신원동,18620,773,0.04
관악구,서림동,24361,925,0.04
관악구,신사동,24719,2073,0.08
관악구,신림동,23877,796,0.03
관악구,난향동,15050,124,0.01
관악구,조원동,20490,1349,0.07
관악구,대학동,26301,2286,0.09
관악구,은천동,33156,446,0.01
관악구,성현동,28830,190,0.01
관악구,청룡동,37132,1057,0.03
관악구,난곡동,26679,439,0.02
관악구,삼성동,20642,141,0.01
관악구,미성동,30662,546,0.02
서초구,소계,408451,4126,0.01
서초구,서초1동,20622,193,0.01
서초구,서초2동,26932,459,0.02
서초구,서초3동,32379,334,0.01
서초구,서초4동,30521,251,0.01
서초구,잠원동,26393,189,0.01
서초구,반포본동,292,17,0.06
서초구,반포1동,34443,366,0.01
서초구,반포2동,15742,100,0.01
서초구,반포3동,22773,57,0.0
서초구,반포4동,19486,696,0.04
서초구,방배본동,20778,164,0.01
서초구,방배1동,16883,157,0.01
서초구,방배2동,18553,109,0.01
서초구,방배3동,17321,100,0.01
서초구,방배4동,23429,314,0.01
서초구,양재1동,42683,345,0.01
서초구,양재2동,21766,219,0.01
서초구,내곡동,17455,56,0.0
강남구,소계,534103,5001,0.01
강남구,신사동,15876,254,0.02
강남구,개포3동,17382,64,0.0
강남구,논현1동,22080,685,0.03
강남구,논현2동,20814,312,0.01
강남구,삼성1동,12739,256,0.02
강남구,삼성2동,31062,252,0.01
강남구,대치1동,23846,36,0.0
강남구,대치4동,19491,285,0.01
강남구,역삼1동,35556,1071,0.03
강남구,역삼2동,37269,339,0.01
강남구,도곡1동,21274,148,0.01
강남구,도곡2동,32846,93,0.0
강남구,개포1동,6922,21,0.0
강남구,개포4동,23639,167,0.01
강남구,일원본동,23015,27,0.0
강남구,일원1동,14987,137,0.01
강남구,수서동,14402,56,0.0
강남구,세곡동,43382,174,0.0
강남구,압구정동,25902,153,0.01
강남구,청담동,25489,234,0.01
강남구,대치2동,37098,152,0.0
강남구,개포2동,29032,85,0.0
송파구,소계,664514,5713,0.01
송파구,풍납1동,12910,524,0.04
송파구,풍납2동,24426,185,0.01
송파구,거여1동,12255,74,0.01
송파구,거여2동,23745,92,0.0
송파구,마천1동,18618,139,0.01
송파구,마천2동,18150,155,0.01
송파구,방이1동,15460,99,0.01
송파구,방이2동,26354,559,0.02
송파구,오륜동,17804,20,0.0
송파구,오금동,38037,237,0.01
송파구,송파1동,24008,315,0.01
송파구,송파2동,18947,141,0.01
송파구,석촌동,31602,548,0.02
송파구,삼전동,29912,386,0.01
송파구,가락본동,25883,267,0.01
송파구,가락1동,27521,134,0.0
송파구,가락2동,31670,169,0.01
송파구,문정1동,19916,173,0.01
송파구,문정2동,28841,196,0.01
송파구,잠실본동,28358,516,0.02
송파구,잠실4동,21223,66,0.0
송파구,잠실6동,16713,158,0.01
송파구,잠실7동,9427,19,0.0
송파구,잠실2동,34876,118,0.0
송파구,잠실3동,34143,134,0.0
송파구,장지동,29102,153,0.01
송파구,위례동,44613,136,0.0
강동구,소계,464037,3970,0.01
강동구,강일동,33057,191,0.01
강동구,명일1동,25641,83,0.0
강동구,명일2동,17327,57,0.0
강동구,고덕1동,23919,107,0.0
강동구,고덕2동,22764,168,0.01
강동구,암사2동,15069,64,0.0
강동구,암사3동,17481,48,0.0
강동구,천호1동,26670,235,0.01
강동구,천호3동,26679,469,0.02
강동구,성내1동,19900,139,0.01
강동구,성내2동,23528,548,0.02
강동구,성내3동,23071,306,0.01
강동구,둔촌1동,73,9,0.12
강동구,둔촌2동,24277,106,0.0
강동구,암사1동,34271,282,0.01
강동구,천호2동,33825,623,0.02
강동구,길동,45374,342,0.01
강동구,상일1동,39178,142,0.0
강동구,상일2동,11933,51,0.0
