,구,동,all_chi,pub_chi,ratio_chi,all_kin,pub_kin,ratio_kin,all
100,중랑구,중화1동,12,3,25.0,3,1,33.33333333333333,4
101,중랑구,중화2동,5,3,60.0,1,0,0.0,3
102,중랑구,묵1동,20,5,25.0,2,0,0.0,5
103,중랑구,묵2동,11,3,27.27272727272727,2,2,100.0,5
104,중랑구,망우3동,6,1,16.666666666666664,1,1,100.0,2
105,중랑구,신내1동,32,11,34.375,2,1,50.0,12
106,중랑구,신내2동,17,4,23.52941176470588,5,2,40.0,6
107,중랑구,면목본동,11,2,18.181818181818183,3,2,66.66666666666666,4
108,중랑구,면목3.8동,12,6,50.0,1,0,0.0,6
109,중랑구,망우본동,19,11,57.89473684210527,3,2,66.66666666666666,13
110,성북구,돈암1동,7,0,0.0,2,0,0.0,0
111,성북구,돈암2동,13,7,53.84615384615385,5,0,0.0,7
112,성북구,안암동,8,4,50.0,1,0,0.0,4
113,성북구,보문동,7,3,42.85714285714285,4,1,25.0,4
114,성북구,정릉1동,12,6,50.0,2,0,0.0,6
115,성북구,정릉2동,10,2,20.0,0,0,0.0,2
116,성북구,정릉3동,6,3,50.0,1,1,100.0,4
117,성북구,정릉4동,15,7,46.66666666666666,2,0,0.0,7
118,성북구,길음1동,21,5,23.809523809523807,6,3,50.0,8
119,성북구,길음2동,11,7,63.63636363636363,1,1,100.0,8
120,성북구,월곡1동,14,5,35.714285714285715,1,1,100.0,6
121,성북구,월곡2동,11,5,45.45454545454545,2,0,0.0,5
122,성북구,장위1동,8,3,37.5,3,1,33.33333333333333,4
123,성북구,장위2동,7,1,14.285714285714285,1,1,100.0,2
124,성북구,장위3동,10,4,40.0,1,1,100.0,5
125,성북구,성북동,4,2,50.0,3,1,33.33333333333333,3
126,성북구,삼선동,7,4,57.14285714285714,1,1,100.0,5
127,성북구,동선동,4,2,50.0,3,2,66.66666666666666,4
128,성북구,종암동,22,10,45.45454545454545,4,1,25.0,11
129,성북구,석관동,13,7,53.84615384615385,3,1,33.33333333333333,8
130,강북구,번1동,9,4,44.44444444444444,1,1,100.0,5
131,강북구,번2동,5,2,40.0,1,0,0.0,2
132,강북구,번3동,7,3,42.85714285714285,1,1,100.0,4
133,강북구,수유1동,6,2,33.33333333333333,1,1,100.0,3
134,강북구,수유2동,11,3,27.27272727272727,2,0,0.0,3
135,강북구,수유3동,8,1,12.5,0,0,0.0,1
136,강북구,삼양동,14,7,50.0,3,1,33.33333333333333,8
137,강북구,미아동,6,3,50.0,0,0,0.0,3
138,강북구,송중동,12,8,66.66666666666666,2,1,50.0,9
139,강북구,송천동,7,3,42.85714285714285,1,1,100.0,4
140,강북구,삼각산동,22,16,72.72727272727273,1,0,0.0,16
141,강북구,우이동,8,4,50.0,1,0,0.0,4
142,강북구,인수동,7,4,57.14285714285714,3,1,33.33333333333333,5
143,도봉구,쌍문1동,9,2,22.22222222222222,4,2,50.0,4
144,도봉구,쌍문2동,9,3,33.33333333333333,1,0,0.0,3
145,도봉구,쌍문3동,7,2,28.57142857142857,0,0,0.0,2
146,도봉구,쌍문4동,12,5,41.66666666666667,2,0,0.0,5
147,도봉구,방학1동,10,7,70.0,2,1,50.0,8
148,도봉구,방학2동,9,3,33.33333333333333,0,0,0.0,3
149,도봉구,방학3동,17,6,35.294117647058826,4,1,25.0,7
150,도봉구,창1동,13,5,38.46153846153847,1,0,0.0,5
151,도봉구,창2동,18,5,27.77777777777778,1,0,0.0,5
152,도봉구,창3동,9,5,55.55555555555556,2,1,50.0,6
153,도봉구,창4동,18,7,38.88888888888889,3,2,66.66666666666666,9
154,도봉구,창5동,12,3,25.0,4,2,50.0,5
155,도봉구,도봉1동,6,2,33.33333333333333,2,2,100.0,4
156,도봉구,도봉2동,21,11,52.38095238095239,2,0,0.0,11
157,노원구,월계1동,14,5,35.714285714285715,1,0,0.0,5
158,노원구,월계2동,15,8,53.333333333333336,5,1,20.0,9
159,노원구,월계3동,28,4,14.285714285714285,4,1,25.0,5
160,노원구,공릉2동,29,9,31.03448275862069,9,2,22.22222222222222,11
161,노원구,하계1동,10,4,40.0,3,1,33.33333333333333,5
162,노원구,하계2동,12,4,33.33333333333333,2,0,0.0,4
163,노원구,중계본동,5,2,40.0,3,1,33.33333333333333,3
164,노원구,중계1동,10,4,40.0,1,0,0.0,4
165,노원구,중계4동,7,1,14.285714285714285,2,0,0.0,1
166,노원구,상계1동,19,10,52.63157894736842,4,3,75.0,13
167,노원구,상계2동,12,3,25.0,1,1,100.0,4
168,노원구,상계5동,9,1,11.11111111111111,1,1,100.0,2
169,노원구,상계8동,32,8,25.0,4,2,50.0,10
170,노원구,상계9동,16,3,18.75,2,1,50.0,4
171,노원구,상계10동,11,3,27.27272727272727,3,1,33.33333333333333,4
172,노원구,상계3.4동,13,7,53.84615384615385,3,1,33.33333333333333,8
173,노원구,상계6.7동,24,5,20.833333333333336,2,1,50.0,6
174,노원구,중계2.3동,22,6,27.27272727272727,4,1,25.0,7
175,노원구,공릉1동,18,6,33.33333333333333,5,2,40.0,8
176,은평구,녹번동,19,7,36.84210526315789,4,2,50.0,9
177,은평구,불광1동,18,7,38.88888888888889,3,1,33.33333333333333,8
178,은평구,갈현1동,8,4,50.0,0,0,0.0,4
179,은평구,갈현2동,12,5,41.66666666666667,3,0,0.0,5
180,은평구,구산동,13,6,46.15384615384615,2,1,50.0,7
181,은평구,대조동,9,3,33.33333333333333,0,0,0.0,3
182,은평구,응암1동,13,6,46.15384615384615,3,1,33.33333333333333,7
183,은평구,응암2동,18,11,61.11111111111112,3,1,33.33333333333333,12
184,은평구,신사1동,11,3,27.27272727272727,1,0,0.0,3
185,은평구,신사2동,7,4,57.14285714285714,1,1,100.0,5
186,은평구,증산동,13,4,30.76923076923077,1,0,0.0,4
187,은평구,수색동,4,2,50.0,2,1,50.0,3
188,은평구,진관동,39,16,41.02564102564102,7,5,71.42857142857143,21
189,은평구,불광2동,8,3,37.5,3,3,100.0,6
190,은평구,응암3동,5,2,40.0,2,1,50.0,3
191,은평구,역촌동,20,7,35.0,2,1,50.0,8
192,서대문구,천연동,8,2,25.0,1,1,100.0,3
193,서대문구,홍제1동,12,4,33.33333333333333,2,0,0.0,4
194,서대문구,홍제3동,10,7,70.0,2,1,50.0,8
195,서대문구,홍제2동,4,2,50.0,1,0,0.0,2
196,서대문구,홍은1동,9,6,66.66666666666666,2,1,50.0,7
197,서대문구,홍은2동,7,3,42.85714285714285,1,0,0.0,3
198,서대문구,남가좌1동,13,7,53.84615384615385,1,1,100.0,8
199,서대문구,남가좌2동,17,7,41.17647058823529,3,0,0.0,7
200,서대문구,북가좌1동,10,5,50.0,1,0,0.0,5
201,서대문구,북가좌2동,10,4,40.0,2,0,0.0,4
202,서대문구,충현동,8,4,50.0,0,0,0.0,4
203,서대문구,북아현동,12,7,58.333333333333336,1,1,100.0,8
204,서대문구,신촌동,5,1,20.0,3,0,0.0,1
205,서대문구,연희동,11,5,45.45454545454545,1,0,0.0,5
206,마포구,용강동,12,4,33.33333333333333,1,0,0.0,4
207,마포구,대흥동,4,4,100.0,2,2,100.0,6
208,마포구,염리동,8,6,75.0,2,1,50.0,7
209,마포구,신수동,9,5,55.55555555555556,1,0,0.0,5
210,마포구,서교동,8,7,87.5,1,0,0.0,7
211,마포구,합정동,7,3,42.85714285714285,1,1,100.0,4
212,마포구,망원1동,11,4,36.36363636363637,0,0,0.0,4
213,마포구,망원2동,8,2,25.0,1,1,100.0,3
214,마포구,연남동,4,1,25.0,2,0,0.0,1
215,마포구,성산1동,5,1,20.0,2,1,50.0,2
216,마포구,성산2동,22,4,18.181818181818183,3,1,33.33333333333333,5
217,마포구,상암동,30,15,50.0,5,3,60.0,18
218,마포구,도화동,11,4,36.36363636363637,3,1,33.33333333333333,5
219,마포구,서강동,13,8,61.53846153846154,0,0,0.0,8
220,마포구,공덕동,14,6,42.85714285714285,3,2,66.66666666666666,8
221,마포구,아현동,21,11,52.38095238095239,0,0,0.0,11
222,양천구,목1동,10,3,30.0,2,1,50.0,4
223,양천구,목2동,12,3,25.0,2,1,50.0,4
224,양천구,목3동,13,5,38.46153846153847,2,0,0.0,5
225,양천구,목4동,10,6,60.0,0,0,0.0,6
226,양천구,신월1동,15,2,13.333333333333334,0,0,0.0,2
227,양천구,신월2동,17,3,17.647058823529413,0,0,0.0,3
228,양천구,신월3동,11,4,36.36363636363637,2,1,50.0,5
229,양천구,신월4동,12,3,25.0,2,0,0.0,3
230,양천구,신월5동,10,4,40.0,1,1,100.0,5
231,양천구,신월6동,10,5,50.0,0,0,0.0,5
232,양천구,신월7동,10,2,20.0,2,1,50.0,3
233,양천구,신정1동,9,2,22.22222222222222,2,0,0.0,2
234,양천구,신정2동,8,2,25.0,1,0,0.0,2
235,양천구,신정3동,32,22,68.75,6,4,66.66666666666666,26
236,양천구,신정6동,11,2,18.181818181818183,2,0,0.0,2
237,양천구,신정7동,15,7,46.66666666666666,3,0,0.0,7
238,양천구,목5동,15,4,26.666666666666668,7,3,42.85714285714285,7
239,양천구,신정4동,16,9,56.25,4,2,50.0,11
240,강서구,염창동,29,8,27.58620689655172,1,1,100.0,9
241,강서구,등촌1동,12,4,33.33333333333333,1,0,0.0,4
242,강서구,등촌2동,10,2,20.0,2,1,50.0,3
243,강서구,등촌3동,15,8,53.333333333333336,4,1,25.0,9
244,강서구,화곡본동,22,4,18.181818181818183,3,1,33.33333333333333,5
245,강서구,화곡2동,8,3,37.5,2,0,0.0,3
246,강서구,화곡3동,11,4,36.36363636363637,1,0,0.0,4
247,강서구,화곡4동,11,2,18.181818181818183,3,1,33.33333333333333,3
248,강서구,화곡6동,8,2,25.0,1,0,0.0,2
249,강서구,화곡8동,14,4,28.57142857142857,1,0,0.0,4
250,강서구,가양1동,22,3,13.636363636363637,3,0,0.0,3
251,강서구,가양2동,6,3,50.0,2,1,50.0,4
252,강서구,가양3동,9,3,33.33333333333333,3,1,33.33333333333333,4
253,강서구,발산1동,27,8,29.629629629629623,3,1,33.33333333333333,9
254,강서구,공항동,17,7,41.17647058823529,2,2,100.0,9
255,강서구,방화1동,30,12,40.0,5,3,60.0,15
256,강서구,방화2동,9,3,33.33333333333333,3,1,33.33333333333333,4
257,강서구,방화3동,12,3,25.0,3,1,33.33333333333333,4
258,강서구,화곡1동,17,4,23.52941176470588,2,2,100.0,6
259,강서구,우장산동,23,5,21.73913043478261,4,1,25.0,6
260,구로구,신도림동,29,8,27.58620689655172,3,1,33.33333333333333,9
261,구로구,구로1동,21,4,19.047619047619047,3,1,33.33333333333333,5
262,구로구,구로3동,16,9,56.25,3,2,66.66666666666666,11
263,구로구,구로4동,15,6,40.0,2,0,0.0,6
264,구로구,구로5동,18,3,16.666666666666664,1,1,100.0,4
265,구로구,고척1동,14,5,35.714285714285715,2,2,100.0,7
266,구로구,고척2동,19,7,36.84210526315789,1,1,100.0,8
267,구로구,개봉2동,20,12,60.0,3,0,0.0,12
268,구로구,개봉3동,9,4,44.44444444444444,1,1,100.0,5
269,구로구,오류1동,9,3,33.33333333333333,2,0,0.0,3
270,구로구,오류2동,30,15,50.0,5,3,60.0,18
271,구로구,수궁동,12,2,16.666666666666664,1,0,0.0,2
272,구로구,가리봉동,3,2,66.66666666666666,0,0,0.0,2
273,구로구,구로2동,13,3,23.07692307692308,1,0,0.0,3
274,구로구,개봉1동,19,6,31.57894736842105,2,1,50.0,7
275,구로구,항동,19,10,52.63157894736842,1,1,100.0,11
276,금천구,가산동,10,3,30.0,1,0,0.0,3
277,금천구,독산1동,27,15,55.55555555555556,4,2,50.0,17
278,금천구,독산2동,10,5,50.0,2,2,100.0,7
279,금천구,독산3동,9,3,33.33333333333333,1,0,0.0,3
280,금천구,독산4동,10,3,30.0,1,1,100.0,4
281,금천구,시흥1동,18,7,38.88888888888889,1,0,0.0,7
282,금천구,시흥2동,14,10,71.42857142857143,4,1,25.0,11
283,금천구,시흥3동,3,2,66.66666666666666,1,0,0.0,2
284,금천구,시흥4동,13,3,23.07692307692308,0,0,0.0,3
285,금천구,시흥5동,14,4,28.57142857142857,1,1,100.0,5
286,영등포구,여의동,33,3,9.090909090909092,5,1,20.0,4
287,영등포구,당산1동,13,4,30.76923076923077,2,0,0.0,4
288,영등포구,당산2동,19,8,42.10526315789473,2,1,50.0,9
289,영등포구,양평1동,13,4,30.76923076923077,3,1,33.33333333333333,5
290,영등포구,양평2동,18,6,33.33333333333333,2,1,50.0,7
291,영등포구,신길1동,7,4,57.14285714285714,0,0,0.0,4
292,영등포구,신길3동,8,3,37.5,3,0,0.0,3
293,영등포구,신길4동,6,4,66.66666666666666,3,1,33.33333333333333,5
294,영등포구,신길5동,3,3,100.0,1,0,0.0,3
295,영등포구,신길6동,13,6,46.15384615384615,2,1,50.0,7
296,영등포구,신길7동,10,4,40.0,2,1,50.0,5
297,영등포구,대림1동,9,4,44.44444444444444,1,0,0.0,4
298,영등포구,대림2동,5,2,40.0,2,2,100.0,4
299,영등포구,대림3동,11,4,36.36363636363637,4,1,25.0,5
300,영등포구,영등포본동,12,4,33.33333333333333,2,0,0.0,4
301,영등포구,영등포동,9,6,66.66666666666666,3,1,33.33333333333333,7
302,영등포구,도림동,11,3,27.27272727272727,1,0,0.0,3
303,영등포구,문래동,24,10,41.66666666666667,1,1,100.0,11
304,동작구,노량진2동,1,0,0.0,1,0,0.0,0
305,동작구,상도1동,16,7,43.75,3,1,33.33333333333333,8
306,동작구,상도2동,17,7,41.17647058823529,0,0,0.0,7
307,동작구,상도3동,9,2,22.22222222222222,0,0,0.0,2
308,동작구,상도4동,14,4,28.57142857142857,3,0,0.0,4
309,동작구,사당1동,6,2,33.33333333333333,1,0,0.0,2
310,동작구,사당3동,11,7,63.63636363636363,2,1,50.0,8
311,동작구,사당4동,8,2,25.0,0,0,0.0,2
312,동작구,사당5동,6,2,33.33333333333333,3,2,66.66666666666666,4
313,동작구,대방동,11,5,45.45454545454545,1,0,0.0,5
314,동작구,신대방1동,11,4,36.36363636363637,3,1,33.33333333333333,5
315,동작구,신대방2동,13,7,53.84615384615385,0,0,0.0,7
316,동작구,흑석동,14,7,50.0,4,1,25.0,8
317,동작구,노량진1동,15,7,46.66666666666666,5,2,40.0,9
318,동작구,사당2동,16,7,43.75,0,0,0.0,7
319,관악구,보라매동,12,4,33.33333333333333,1,1,100.0,5
320,관악구,청림동,15,9,60.0,2,1,50.0,10
321,관악구,행운동,10,5,50.0,3,2,66.66666666666666,7
322,관악구,낙성대동,7,2,28.57142857142857,0,0,0.0,2
323,관악구,중앙동,2,2,100.0,1,1,100.0,3
324,관악구,인헌동,9,4,44.44444444444444,1,0,0.0,4
325,관악구,남현동,6,1,16.666666666666664,2,1,50.0,2
326,관악구,서원동,7,5,71.42857142857143,0,0,0.0,5
327,관악구,신원동,6,2,33.33333333333333,1,1,100.0,3
328,관악구,서림동,7,1,14.285714285714285,3,1,33.33333333333333,2
329,관악구,신사동,9,4,44.44444444444444,1,1,100.0,5
330,관악구,신림동,3,2,66.66666666666666,0,0,0.0,2
331,관악구,난향동,11,3,27.27272727272727,1,0,0.0,3
332,관악구,조원동,8,5,62.5,0,0,0.0,5
333,관악구,대학동,5,1,20.0,1,1,100.0,2
334,관악구,은천동,15,7,46.66666666666666,4,2,50.0,9
335,관악구,성현동,15,5,33.33333333333333,3,0,0.0,5
336,관악구,청룡동,11,6,54.54545454545454,2,2,100.0,8
337,관악구,난곡동,11,5,45.45454545454545,2,1,50.0,6
338,관악구,삼성동,5,4,80.0,2,1,50.0,5
339,관악구,미성동,11,5,45.45454545454545,1,0,0.0,5
340,서초구,서초1동,11,4,36.36363636363637,1,0,0.0,4
341,서초구,서초2동,10,5,50.0,1,0,0.0,5
342,서초구,서초3동,11,4,36.36363636363637,0,0,0.0,4
343,서초구,서초4동,10,7,70.0,3,1,33.33333333333333,8
344,서초구,잠원동,9,4,44.44444444444444,1,0,0.0,4
345,서초구,반포본동,0,0,0.0,0,0,0.0,0
346,서초구,반포1동,9,6,66.66666666666666,1,0,0.0,6
347,서초구,반포2동,7,4,57.14285714285714,1,0,0.0,4
348,서초구,반포3동,9,5,55.55555555555556,1,0,0.0,5
349,서초구,반포4동,10,5,50.0,0,0,0.0,5
350,서초구,방배본동,5,3,60.0,1,1,100.0,4
351,서초구,방배1동,5,2,40.0,0,0,0.0,2
352,서초구,방배2동,9,5,55.55555555555556,0,0,0.0,5
353,서초구,방배3동,6,5,83.33333333333334,1,0,0.0,5
354,서초구,방배4동,9,3,33.33333333333333,2,1,50.0,4
355,서초구,양재1동,24,10,41.66666666666667,7,5,71.42857142857143,15
356,서초구,양재2동,10,6,60.0,1,0,0.0,6
357,서초구,내곡동,16,10,62.5,2,2,100.0,12
358,강남구,신사동,3,2,66.66666666666666,1,1,100.0,3
359,강남구,개포3동,8,3,37.5,2,0,0.0,3
